order_id,order_date,product_id,customer_id,product_qty,product_net_revenue,tax_amount,product_gross_revenue,status
3065,2021-03-01 23:36:02,3055,1,1,599,0,599,wc-completed
3066,2021-03-01 23:52:34,3055,1,1,599,0,599,wc-completed
3070,2021-03-02 00:22:42,3055,1,1,599,0,599,wc-processing
3071,2021-03-02 00:32:14,3055,1,1,599,0,599,wc-processing
3072,2021-03-02 00:44:48,3055,1,1,599,0,599,wc-processing
3073,2021-03-02 00:53:18,3055,1,2,1198,0,1198,wc-processing
3074,2021-03-02 00:54:58,3055,1,1,599,0,599,wc-processing
3075,2021-03-02 01:02:47,3055,1,1,599,0,599,wc-processing
3076,2021-03-02 03:07:35,3055,1,1,599,0,599,wc-on-hold
3077,2021-03-02 03:10:21,3055,1,1,599,0,599,wc-on-hold
3079,2021-03-02 04:01:12,3048,2,4,2796,0,2796,wc-on-hold
3089,2021-03-02 16:46:18,3087,1,2,1198,0,1198,wc-on-hold
3091,2021-03-02 17:03:50,3055,1,1,599,0,599,wc-on-hold
3094,2021-03-02 18:12:05,3087,1,1,599,0,599,wc-completed
3100,2021-03-02 19:08:12,1288,5,1,"3,99",0,"3,99",wc-on-hold
3108,2021-03-03 00:03:00,2680,5,2,658,0,658,wc-on-hold
3425,2021-03-08 19:08:46,3202,1,1,1,0,1,wc-on-hold
3471,2021-03-09 14:31:55,3158,46,32,"25403,2",0,"25403,2",wc-on-hold
3500,2021-03-09 21:18:08,3052,57,2,1270,0,1270,wc-completed
3500,2021-03-09 21:18:08,3081,57,5,"2749,95",0,"2749,95",wc-completed
3500,2021-03-09 21:18:08,2536,57,5,3125,0,3125,wc-completed
3533,2021-03-10 17:16:57,2554,61,30,2970,0,2970,wc-completed
3533,2021-03-10 17:16:57,3096,61,25,4225,0,4225,wc-completed
3533,2021-03-10 17:16:57,3095,61,25,4225,0,4225,wc-completed
3582,2021-03-11 18:39:09,3579,57,4,1980,0,1980,wc-completed
3612,2021-03-12 15:51:20,3223,66,5,"2406,4",0,"2406,4",wc-completed
3631,2021-03-12 16:35:08,3101,57,1,490,0,490,wc-completed
3631,2021-03-12 16:35:08,2217,57,5,1695,0,1695,wc-completed
3678,2021-03-13 05:11:02,1968,63,2,1910,0,1910,wc-completed
3678,2021-03-13 05:11:02,2217,63,3,1017,0,1017,wc-completed
3678,2021-03-13 05:11:02,2519,63,2,"199,98",0,"199,98",wc-completed
3678,2021-03-13 05:11:02,2732,63,2,1540,0,1540,wc-completed
3678,2021-03-13 05:11:02,2850,63,2,1090,0,1090,wc-completed
3678,2021-03-13 05:11:02,3052,63,2,1270,0,1270,wc-completed
3678,2021-03-13 05:11:02,3053,63,2,1418,0,1418,wc-completed
3678,2021-03-13 05:11:02,3054,63,2,1458,0,1458,wc-completed
3678,2021-03-13 05:11:02,3101,63,2,980,0,980,wc-completed
3678,2021-03-13 05:11:02,3145,63,1,895,0,895,wc-completed
3678,2021-03-13 05:11:02,3224,63,3,"1443,84",0,"1443,84",wc-completed
3678,2021-03-13 05:11:02,3578,63,4,"239,96",0,"239,96",wc-completed
3679,2021-03-14 20:54:36,3531,66,4,"2519,96",0,"2519,96",wc-completed
3682,2021-03-15 16:23:34,3101,46,143,70070,0,70070,wc-completed
3682,2021-03-15 16:23:34,3165,46,5,"4699,95",0,"4699,95",wc-completed
3682,2021-03-15 16:23:34,3433,46,7,4935,0,4935,wc-completed
3682,2021-03-15 16:23:34,1298,46,2,496,0,496,wc-completed
3682,2021-03-15 16:23:34,2220,46,5,4995,0,4995,wc-completed
3682,2021-03-15 16:23:34,2550,46,120,28680,0,28680,wc-completed
3682,2021-03-15 16:23:34,2839,46,100,19900,0,19900,wc-completed
3682,2021-03-15 16:23:34,2850,46,18,9810,0,9810,wc-completed
3682,2021-03-15 16:23:34,3039,46,7,1743,0,1743,wc-completed
3682,2021-03-15 16:23:34,3052,46,6,3810,0,3810,wc-completed
3682,2021-03-15 16:23:34,3221,46,58,"22931,46",0,"22931,46",wc-completed
3682,2021-03-15 16:23:34,3230,46,8,"10929,6",0,"10929,6",wc-completed
3682,2021-03-15 16:23:34,3231,46,26,"19079,32",0,"19079,32",wc-completed
3682,2021-03-15 16:23:34,3236,46,82,"31911,12",0,"31911,12",wc-completed
3682,2021-03-15 16:23:34,3239,46,7,"4962,86",0,"4962,86",wc-completed
3682,2021-03-15 16:23:34,3562,46,2,1258,0,1258,wc-completed
3682,2021-03-15 16:23:34,3606,46,27,14823,0,14823,wc-completed
3687,2021-03-15 20:37:21,3202,70,1,1,0,1,wc-on-hold
3863,2021-03-16 15:54:24,3536,72,10,1995,0,1995,wc-completed
3863,2021-03-16 15:54:24,3152,72,18,"4157,82",0,"4157,82",wc-completed
3863,2021-03-16 15:54:24,3530,72,30,"1649,7",0,"1649,7",wc-completed
3863,2021-03-16 15:54:24,3577,72,5,"274,95",0,"274,95",wc-completed
3939,2021-03-16 17:27:25,2526,61,20,5580,0,5580,wc-cancelled
3939,2021-03-16 17:27:25,2042,61,20,5580,0,5580,wc-cancelled
3974,2021-03-16 21:21:47,3224,43,12,"5775,36",0,"5775,36",wc-completed
4056,2021-03-17 03:09:28,3283,74,3,"959,46",0,"959,46",wc-completed
4056,2021-03-17 03:09:28,2838,74,3,"1019,97",0,"1019,97",wc-completed
4056,2021-03-17 03:09:28,3223,74,2,"962,56",0,"962,56",wc-completed
4056,2021-03-17 03:09:28,3693,74,2,950,0,950,wc-completed
4056,2021-03-17 03:09:28,3224,74,2,"962,56",0,"962,56",wc-completed
4056,2021-03-17 03:09:28,1288,74,20,20,0,20,wc-completed
4056,2021-03-17 03:09:28,1281,74,20,20,0,20,wc-completed
4056,2021-03-17 03:09:28,1283,74,20,20,0,20,wc-completed
4056,2021-03-17 03:09:28,1286,74,20,20,0,20,wc-completed
4056,2021-03-17 03:09:28,2680,74,2,638,0,638,wc-completed
4057,2021-03-17 03:35:43,3795,74,4,1240,0,1240,wc-cancelled
4057,2021-03-17 03:35:43,2838,74,3,"1019,97",0,"1019,97",wc-cancelled
4057,2021-03-17 03:35:43,3693,74,2,950,0,950,wc-cancelled
4057,2021-03-17 03:35:43,3223,74,2,"962,56",0,"962,56",wc-cancelled
4057,2021-03-17 03:35:43,3224,74,2,"962,56",0,"962,56",wc-cancelled
4057,2021-03-17 03:35:43,2680,74,1,319,0,319,wc-cancelled
4057,2021-03-17 03:35:43,1288,74,20,20,0,20,wc-cancelled
4057,2021-03-17 03:35:43,1281,74,20,20,0,20,wc-cancelled
4057,2021-03-17 03:35:43,1283,74,20,20,0,20,wc-cancelled
4057,2021-03-17 03:35:43,1286,74,20,20,0,20,wc-cancelled
4058,2021-03-17 04:34:04,3795,74,4,1240,0,1240,wc-cancelled
4058,2021-03-17 04:34:04,3693,74,2,950,0,950,wc-cancelled
4058,2021-03-17 04:34:04,2838,74,3,"1019,97",0,"1019,97",wc-cancelled
4058,2021-03-17 04:34:04,3223,74,2,"962,56",0,"962,56",wc-cancelled
4058,2021-03-17 04:34:04,3224,74,2,"962,56",0,"962,56",wc-cancelled
4058,2021-03-17 04:34:04,1288,74,20,20,0,20,wc-cancelled
4058,2021-03-17 04:34:04,1281,74,20,20,0,20,wc-cancelled
4058,2021-03-17 04:34:04,1283,74,20,20,0,20,wc-cancelled
4058,2021-03-17 04:34:04,1286,74,20,20,0,20,wc-cancelled
4058,2021-03-17 04:34:04,2680,74,1,319,0,319,wc-cancelled
4060,2021-03-17 16:36:57,3576,46,5,6245,0,6245,wc-completed
4509,2021-03-18 17:11:07,4103,57,2,2290,0,2290,wc-completed
4509,2021-03-18 17:11:07,3244,57,2,"2194,2",0,"2194,2",wc-completed
4509,2021-03-18 17:11:07,3242,57,2,"2628,9",0,"2628,9",wc-completed
4996,2021-03-22 15:55:51,3603,25,20,9980,0,9980,wc-completed
4996,2021-03-22 15:55:51,2222,25,10,8800,0,8800,wc-completed
5002,2021-03-22 16:59:38,3693,60,150,71250,0,71250,wc-completed
5002,2021-03-22 16:59:38,1466,60,4,2796,0,2796,wc-completed
5002,2021-03-22 16:59:38,916,60,71,37346,0,37346,wc-completed
5002,2021-03-22 16:59:38,3037,60,4,4556,0,4556,wc-completed
5002,2021-03-22 16:59:38,3136,60,2,1510,0,1510,wc-completed
5002,2021-03-22 16:59:38,3580,60,29,21431,0,21431,wc-completed
5002,2021-03-22 16:59:38,4103,60,12,13740,0,13740,wc-completed
5002,2021-03-22 16:59:38,4759,60,2,2178,0,2178,wc-completed
5002,2021-03-22 16:59:38,3272,60,10,"5889,2",0,"5889,2",wc-completed
5002,2021-03-22 16:59:38,2732,60,17,13090,0,13090,wc-completed
5078,2021-03-23 20:26:48,3090,46,8,7632,0,7632,wc-completed
5178,2021-03-24 15:16:02,3981,66,5,2845,0,2845,wc-completed
5195,2021-03-24 17:21:23,2839,46,100,19900,0,19900,wc-completed
5218,2021-03-24 19:08:50,2550,46,62,13578,0,13578,wc-completed
5220,2021-03-24 19:12:34,2839,46,100,19900,0,19900,wc-completed
5220,2021-03-24 19:12:34,5043,46,20,"24612,4",0,"24612,4",wc-completed
5268,2021-03-25 19:54:17,5004,40,30,9180,0,9180,wc-completed
5268,2021-03-25 19:54:17,3769,40,50,19100,0,19100,wc-completed
5268,2021-03-25 19:54:17,3603,40,60,29940,0,29940,wc-completed
5268,2021-03-25 19:54:17,3158,40,15,"11783,55",0,"11783,55",wc-completed
5268,2021-03-25 19:54:17,4000,40,15,12435,0,12435,wc-completed
5271,2021-03-25 20:14:33,5247,111,1,939,0,939,wc-completed
5420,2021-03-26 22:33:49,3226,66,2,"745,2",0,"745,2",wc-completed
5604,2021-03-31 16:31:39,3576,46,4,4996,0,4996,wc-completed
5604,2021-03-31 16:31:39,2039,46,20,19380,0,19380,wc-completed
5604,2021-03-31 16:31:39,3052,46,10,6350,0,6350,wc-completed
5604,2021-03-31 16:31:39,5247,46,4,3756,0,3756,wc-completed
5604,2021-03-31 16:31:39,3081,46,70,"38499,3",0,"38499,3",wc-completed
5604,2021-03-31 16:31:39,1968,46,3,2865,0,2865,wc-completed
5604,2021-03-31 16:31:39,3097,46,40,9920,0,9920,wc-completed
5652,2021-04-05 15:37:06,3256,63,2,"1480,06",0,"1480,06",wc-completed
5652,2021-04-05 15:37:06,3292,63,5,"407,4",0,"407,4",wc-completed
5652,2021-04-05 15:37:06,3294,63,5,"322,4",0,"322,4",wc-completed
5652,2021-04-05 15:37:06,3221,63,2,"790,74",0,"790,74",wc-completed
5652,2021-04-05 15:37:06,2436,63,1,660,0,660,wc-completed
5652,2021-04-05 15:37:06,3226,63,4,"1490,4",0,"1490,4",wc-completed
5652,2021-04-05 15:37:06,5264,63,1,699,0,699,wc-completed
5652,2021-04-05 15:37:06,2213,63,1,855,0,855,wc-completed
5652,2021-04-05 15:37:06,2222,63,1,880,0,880,wc-completed
5652,2021-04-05 15:37:06,3252,63,1,"952,2",0,"952,2",wc-completed
5652,2021-04-05 15:37:06,3084,63,1,"949,99",0,"949,99",wc-completed
5652,2021-04-05 15:37:06,2042,63,2,558,0,558,wc-completed
5652,2021-04-05 15:37:06,3223,63,2,"962,56",0,"962,56",wc-completed
5703,2021-04-06 21:57:25,3536,72,3,663,0,663,wc-completed
5703,2021-04-06 21:57:25,5688,72,40,2400,0,2400,wc-completed
5703,2021-04-06 21:57:25,5687,72,20,1940,0,1940,wc-completed
5703,2021-04-06 21:57:25,5682,72,5,945,0,945,wc-completed
5708,2021-04-06 22:07:56,5685,72,97,7372,0,7372,wc-completed
5708,2021-04-06 22:07:56,5684,72,98,4312,0,4312,wc-completed
5725,2021-04-07 13:55:20,1944,46,14,9590,0,9590,wc-completed
5725,2021-04-07 13:55:20,3052,46,40,25400,0,25400,wc-completed
5725,2021-04-07 13:55:20,1298,46,6,1488,0,1488,wc-completed
5725,2021-04-07 13:55:20,5602,46,38,28120,0,28120,wc-completed
5725,2021-04-07 13:55:20,5686,46,2,776,0,776,wc-completed
5725,2021-04-07 13:55:20,5683,46,1,524,0,524,wc-completed
5763,2021-04-07 17:23:26,3202,1,1,1,0,1,wc-on-hold
5800,2021-04-08 22:08:53,4103,57,8,9160,0,9160,wc-completed
5800,2021-04-08 22:08:53,5837,57,5,2940,0,2940,wc-completed
5800,2021-04-08 22:08:53,5781,57,1,"1182,38",0,"1182,38",wc-completed
5862,2021-04-12 15:18:14,5843,57,5,2550,0,2550,wc-completed
5863,2021-04-12 15:21:21,5843,57,5,2550,0,2550,wc-cancelled
5870,2021-04-12 16:16:57,2718,46,1,1299,0,1299,wc-completed
5870,2021-04-12 16:16:57,1800,46,2,1900,0,1900,wc-completed
5870,2021-04-12 16:16:57,3095,46,65,10335,0,10335,wc-completed
5870,2021-04-12 16:16:57,3096,46,100,15900,0,15900,wc-completed
5881,2021-04-12 18:21:40,4451,15,50,3000,0,3000,wc-completed
5881,2021-04-12 18:21:40,4446,15,50,3000,0,3000,wc-completed
5881,2021-04-12 18:21:40,1831,15,4,95,0,95,wc-completed
5881,2021-04-12 18:21:40,1287,15,15,15,0,15,wc-completed
5881,2021-04-12 18:21:40,2837,15,5,5,0,5,wc-completed
5881,2021-04-12 18:21:40,2836,15,15,15,0,15,wc-completed
5881,2021-04-12 18:21:40,1281,15,15,15,0,15,wc-completed
5881,2021-04-12 18:21:40,2835,15,15,15,0,15,wc-completed
5889,2021-04-13 14:18:18,4416,15,10,500,0,500,wc-completed
5889,2021-04-13 14:18:18,1288,15,5,5,0,5,wc-completed
5889,2021-04-13 14:18:18,1281,15,15,15,0,15,wc-completed
5889,2021-04-13 14:18:18,2835,15,15,15,0,15,wc-completed
5889,2021-04-13 14:18:18,2836,15,15,15,0,15,wc-completed
5890,2021-04-13 14:18:35,4416,15,10,500,0,500,wc-on-hold
5890,2021-04-13 14:18:35,1288,15,5,5,0,5,wc-on-hold
5890,2021-04-13 14:18:35,1281,15,15,15,0,15,wc-on-hold
5890,2021-04-13 14:18:35,2835,15,15,15,0,15,wc-on-hold
5890,2021-04-13 14:18:35,2836,15,15,15,0,15,wc-on-hold
5895,2021-04-13 14:46:30,3769,66,5,1905,0,1905,wc-completed
5898,2021-04-13 18:21:36,3283,119,43,"14163,34",0,"14163,34",wc-completed
5898,2021-04-13 18:21:36,5421,119,2,638,0,638,wc-completed
5963,2021-04-13 19:50:37,3283,119,43,"14163,34",0,"14163,34",wc-completed
5963,2021-04-13 19:50:37,5421,119,2,638,0,638,wc-completed
6133,2021-04-14 15:56:37,3769,46,43,16383,0,16383,wc-completed
6155,2021-04-14 17:12:14,5609,40,30,14970,0,14970,wc-completed
6305,2021-04-15 13:52:51,3096,61,250,39750,0,39750,wc-completed
6312,2021-04-15 16:01:57,5688,46,10,600,0,600,wc-completed
6312,2021-04-15 16:01:57,5682,46,24,4536,0,4536,wc-completed
6312,2021-04-15 16:01:57,3152,46,2,"461,98",0,"461,98",wc-completed
6328,2021-04-16 16:29:11,2220,46,21,20979,0,20979,wc-completed
6329,2021-04-16 16:38:20,3245,32,5,"5082,05",0,"5082,05",wc-completed
6354,2021-04-17 17:19:10,3145,63,1,895,0,895,wc-cancelled
6354,2021-04-17 17:19:10,3084,63,2,"1899,98",0,"1899,98",wc-cancelled
6354,2021-04-17 17:19:10,2526,63,1,279,0,279,wc-cancelled
6354,2021-04-17 17:19:10,2042,63,2,558,0,558,wc-cancelled
6354,2021-04-17 17:19:10,3603,63,2,1018,0,1018,wc-cancelled
6354,2021-04-17 17:19:10,3236,63,2,"808,9",0,"808,9",wc-cancelled
6354,2021-04-17 17:19:10,916,63,2,1052,0,1052,wc-cancelled
6354,2021-04-17 17:19:10,3993,63,1,326,0,326,wc-cancelled
6354,2021-04-17 17:19:10,2704,63,1,388,0,388,wc-cancelled
6354,2021-04-17 17:19:10,3738,63,1,560,0,560,wc-cancelled
6354,2021-04-17 17:19:10,4093,63,1,478,0,478,wc-cancelled
6354,2021-04-17 17:19:10,3240,63,1,"591,84",0,"591,84",wc-cancelled
6354,2021-04-17 17:19:10,3710,63,3,1620,0,1620,wc-cancelled
6355,2021-04-17 19:15:13,3240,63,2,"1183,68",0,"1183,68",wc-completed
6355,2021-04-17 19:15:13,3145,63,1,895,0,895,wc-completed
6355,2021-04-17 19:15:13,3084,63,1,"949,99",0,"949,99",wc-completed
6355,2021-04-17 19:15:13,2526,63,2,558,0,558,wc-completed
6355,2021-04-17 19:15:13,2042,63,1,279,0,279,wc-completed
6355,2021-04-17 19:15:13,3603,63,4,2036,0,2036,wc-completed
6355,2021-04-17 19:15:13,3236,63,1,"404,45",0,"404,45",wc-completed
6355,2021-04-17 19:15:13,916,63,2,1052,0,1052,wc-completed
6355,2021-04-17 19:15:13,3993,63,1,326,0,326,wc-completed
6355,2021-04-17 19:15:13,3738,63,1,560,0,560,wc-completed
6355,2021-04-17 19:15:13,4093,63,1,478,0,478,wc-completed
6356,2021-04-17 19:15:25,3240,63,2,"1183,68",0,"1183,68",wc-cancelled
6356,2021-04-17 19:15:25,3145,63,1,895,0,895,wc-cancelled
6356,2021-04-17 19:15:25,3084,63,1,"949,99",0,"949,99",wc-cancelled
6356,2021-04-17 19:15:25,2526,63,2,558,0,558,wc-cancelled
6356,2021-04-17 19:15:25,2042,63,1,279,0,279,wc-cancelled
6356,2021-04-17 19:15:25,3603,63,4,2036,0,2036,wc-cancelled
6356,2021-04-17 19:15:25,3236,63,1,"404,45",0,"404,45",wc-cancelled
6356,2021-04-17 19:15:25,916,63,2,1052,0,1052,wc-cancelled
